Year,lat,lng,T2M_1,T2M_MAX_1,T2M_MIN_1,PS_1,PW_1
2000.000000,-39.750000,-61.250000,20.825161,22.206452,19.691613,101.065161,1.117742
2000.000000,-39.250000,-63.250000,25.813226,33.795484,17.980968,100.381935,1.117742
2000.000000,-39.250000,-62.750000,25.479355,33.035806,18.315161,100.683548,1.117742
2000.000000,-39.250000,-62.250000,24.575484,30.544516,18.980323,100.860968,1.117742
2000.000000,-39.250000,-61.750000,23.325161,27.210323,19.610000,100.922258,1.117742
2000.000000,-39.250000,-61.250000,22.413871,25.582258,19.361613,100.959032,1.117742
2000.000000,-38.750000,-63.250000,25.969355,33.728065,18.267419,100.179032,1.117742
2000.000000,-38.750000,-62.750000,25.674839,33.133226,18.326452,100.211613,1.117742
2000.000000,-38.750000,-62.250000,25.108065,32.034839,18.275806,100.107097,1.117742
2000.000000,-38.750000,-61.750000,24.357419,30.781290,18.002258,99.933548,1.117742
2000.000000,-38.750000,-61.250000,23.684516,30.021935,17.399355,99.955484,1.117742
2000.000000,-38.250000,-63.250000,25.402903,32.963226,17.863226,99.436774,1.117742
2000.000000,-38.250000,-62.750000,25.051290,32.660000,17.465161,99.043871,1.117742
2000.000000,-38.250000,-62.250000,24.500000,32.185161,16.824194,98.531613,1.117742
2000.000000,-38.250000,-61.750000,23.897097,31.680645,16.125484,98.188710,1.117742
2000.000000,-38.250000,-61.250000,23.666129,31.512258,15.813548,98.673226,1.117742
2000.000000,-37.750000,-63.250000,24.679032,32.110000,17.279677,98.970645,1.117742
2000.000000,-37.750000,-62.750000,24.297419,31.741290,16.808387,98.460968,1.117742
2000.000000,-37.750000,-62.250000,23.802903,31.353226,16.136774,97.946452,1.117742
2000.000000,-37.750000,-61.750000,23.407742,31.121935,15.542903,97.785161,1.117742
2000.000000,-37.750000,-61.250000,23.485161,31.338387,15.488710,98.525484,1.117742
2000.000000,-37.250000,-63.250000,24.380000,31.500000,17.158710,99.273871,1.117742
2000.000000,-37.250000,-62.750000,24.299032,31.427097,16.953226,99.101613,1.117742
2000.000000,-37.250000,-62.250000,24.082903,31.355806,16.507742,98.874839,1.117742
2000.000000,-37.250000,-61.750000,23.804839,31.278387,15.997742,98.781290,1.117742
2000.000000,-37.250000,-61.250000,23.723871,31.419677,15.759032,99.065806,1.117742
2000.000000,-36.750000,-63.250000,24.393548,31.303226,17.271290,99.556129,1.117742
