Year,T2M_1,WD2M_1,WS2M_1,PS_1,QV2M_1,PRECTOTCORR_1,ALLSKY_SFC_SW_DWN_1,EVPTRNS_1,GWETPROF_1,SNODP_1,T2MDEW_1,CLOUD_AMT_1,EVLAND_1,T2MWET_1,FRSNO_1,ALLSKY_SFC_LW_DWN_1,ALLSKY_SFC_PAR_TOT_1,ALLSKY_SRF_ALB_1,PW_1,Z0M_1,RHOA_1,RH2M_1,CDD18_3_1,HDD18_3_1,TO3_1,AOD_55_1,VAP_1,VPD_1,ET0_1
1984.000000,24.520645,197.396774,4.493871,100.369355,0.007138,0.380968,28.087419,0.127097,0.238065,0.000000,7.960968,53.683871,8.588387,16.240323,0.000000,389.741935,157.019355,0.090645,1.117742,0.030000,1.174839,40.006452,5.924194,0.000000,282.656129,0.041935,3.119521,3.118364,13.752814
1984.000000,23.613871,189.470645,4.917097,100.565161,0.008264,0.446129,27.149032,0.165484,0.247419,0.000000,10.221935,67.783871,9.421290,16.918387,0.000000,401.100000,153.748387,0.089677,1.117742,0.020000,1.178710,47.796129,5.133548,0.000000,282.698710,0.041935,2.943558,2.942219,13.564424
1984.000000,22.271290,181.675161,5.494516,100.727419,0.009702,0.508387,27.149032,0.212903,0.260000,0.000000,12.988710,67.783871,10.276452,17.629355,0.000000,401.100000,153.748387,0.089677,1.117742,0.010000,1.183226,59.221290,3.931613,0.000000,282.731935,0.041935,2.703814,2.702244,13.450481
1984.000000,20.920323,175.979355,5.998065,100.822903,0.010838,0.563548,27.642903,0.000000,0.370968,0.000000,15.044194,58.777419,5.255806,17.982903,0.000000,357.196774,157.206452,0.050323,1.117742,0.000000,1.188710,70.256774,2.701290,0.000000,282.755484,0.041935,2.483297,2.481544,13.299827
1984.000000,20.041290,173.473871,6.189355,100.846452,0.011131,0.622903,27.642903,0.000000,0.370968,0.000000,15.503871,58.777419,5.255806,17.772903,0.000000,357.196774,157.206452,0.050323,1.117742,0.000000,1.191935,75.860968,1.903871,0.000000,282.771935,0.041935,2.349844,2.348043,13.031517
1984.000000,25.599677,211.701613,4.365161,100.315161,0.006858,0.664194,28.087419,0.176452,0.239677,0.000000,7.296129,53.683871,11.147742,16.447742,0.000000,389.741935,157.019355,0.090645,1.117742,0.033871,1.170968,36.498065,6.989355,0.000000,280.921290,0.041935,3.324182,3.323071,14.065900
1984.000000,24.862903,202.880968,4.637097,100.528710,0.007853,0.607742,27.149032,0.189032,0.239677,0.000000,9.394194,67.783871,10.589677,17.127742,0.000000,401.100000,153.748387,0.089677,1.117742,0.030000,1.174516,42.690645,6.347742,0.000000,280.915806,0.041935,3.172323,3.171051,13.838812
1984.000000,23.493226,191.762258,5.273226,100.714516,0.009454,0.574516,27.149032,0.209355,0.253871,0.000000,12.476129,67.783871,10.203548,17.984194,0.000000,401.100000,153.748387,0.089677,1.117742,0.020000,1.179355,54.205806,5.066452,0.000000,280.939677,0.041935,2.911302,2.909772,13.827231
1984.000000,21.878065,181.323871,6.008065,100.829355,0.011000,0.587742,27.642903,0.000000,0.340000,0.000000,15.254839,58.777419,3.525484,18.566452,0.000000,378.487097,157.206452,0.050323,1.117742,0.000000,1.185806,67.340645,3.552258,0.000000,280.980323,0.041935,2.632728,2.630949,13.749628
1984.000000,20.818710,172.489032,6.219032,100.861290,0.011397,0.624839,27.642903,0.000000,0.340000,0.000000,15.894516,58.777419,3.525484,18.356452,0.000000,378.487097,157.206452,0.050323,1.117742,0.000000,1.189355,74.149355,2.696774,0.000000,281.033548,0.041935,2.465256,2.463413,13.409709
1984.000000,25.867097,223.383548,4.275161,100.272258,0.007159,1.231613,27.868387,0.232581,0.296774,0.000000,7.905806,52.990323,16.659677,16.886774,0.000000,388.493548,156.561290,0.107419,1.117742,0.040000,1.168065,37.335161,7.347419,0.000000,279.216774,0.041935,3.369696,3.368536,14.036504
1984.000000,25.550000,216.130000,4.422258,100.543548,0.007735,0.926452,26.890000,0.157419,0.317097,0.000000,9.124839,60.258065,13.000323,17.336774,0.000000,395.964516,152.612903,0.104194,1.117742,0.040000,1.171613,40.693548,7.110323,0.000000,279.232581,0.041935,3.301668,3.300415,13.848520
1984.000000,24.392903,203.625806,4.972258,100.734839,0.009214,0.720968,26.890000,0.127419,0.363871,0.000000,11.936452,60.258065,10.469355,18.164516,0.000000,395.964516,152.612903,0.104194,1.117742,0.020968,1.176774,50.720323,5.991290,0.000000,279.274516,0.041935,3.072122,3.070630,13.898343
1984.000000,22.680968,189.297419,5.702581,100.840968,0.011033,0.722581,26.569355,0.020968,0.370000,0.000000,15.264194,61.503226,2.918065,18.972258,0.000000,378.487097,153.354839,0.051290,1.117742,0.010000,1.180968,64.627742,4.320968,0.000000,279.310000,0.041935,2.764051,2.762266,13.683316
1984.000000,21.518710,176.059677,5.960645,100.875806,0.011569,0.844516,26.569355,0.020968,0.370000,0.000000,16.162903,61.503226,2.918065,18.840645,0.000000,378.487097,153.354839,0.051290,1.117742,0.000000,1.186452,72.274839,3.380968,0.000000,279.321935,0.041935,2.573652,2.571782,13.357813
